Date,Price,Date2,Open,High,Low,Closed Price,Vol.,Change %,Absolute Value for Change,Volatility,Daily Volatility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/23/2025,"6,118.72",01/23/2025,"6,076.32","6,118.72","6,074.67","6,118.72",0.00K,0.53%,0.53%,44.05,0.72%,,Highest Price Ever," $6,118.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/22/2025,"6,086.37",01/22/2025,"6,081.39","6,100.81","6,076.13","6,086.37",,0.61%,0.61%,24.68,0.41%,,Lowest Price Ever," $4,844.05 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/21/2025,"6,049.24",01/21/2025,"6,014.12","6,051.51","6,006.88","6,049.24",,0.88%,0.88%,44.63,0.74%,,Standard Deviation,350.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/17/2025,"5,996.66",01/17/2025,"5,995.40","6,014.96","5,978.44","5,996.66",,1.00%,1.00%,36.52,0.61%,,Highest Price Movement,3.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results,,,,,,,,,,,,,,,
01/16/2025,"5,937.34",01/16/2025,"5,963.61","5,964.69","5,930.72","5,937.34",,-0.21%,0.21%,33.97,0.57%,,Lowest Price Movement,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/15/2025,"5,949.91",01/15/2025,"5,905.21","5,960.61","5,905.21","5,949.91",,1.83%,1.83%,55.40,0.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest vs Lowest Price,,,,Highest vs Lowest Price Movement (%),,,,Price Range Provisional,,,,Others,,,
01/14/2025,"5,842.91",01/14/2025,"5,859.27","5,871.92","5,805.42","5,842.91",0.00K,0.11%,0.11%,66.50,1.13%,,Average Daily Volatility,0.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest Price,,Lowest Price,,Highest Movement,,Lowest Movement,,Highest Price,,Lowest Price,,Standard Deviation,,Daily Volatility,
08/27/2024,"5,625.80",08/27/2024,"5,602.89","5,631.18","5,593.48","5,625.80",,0.16%,0.16%,37.70,0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/26/2024,"5,616.84",08/26/2024,"5,639.66","5,651.62","5,602.34","5,616.84",,-0.32%,0.32%,49.28,0.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/23/2024,"5,634.61",08/23/2024,"5,602.49","5,641.82","5,585.16","5,634.61",,1.15%,1.15%,56.66,1.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/22/2024,"5,570.64",08/22/2024,"5,637.77","5,643.22","5,560.95","5,570.64",,-0.89%,0.89%,82.27,1.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/21/2024,"5,620.85",08/21/2024,"5,603.09","5,632.68","5,591.57","5,620.85",,0.42%,0.42%,41.11,0.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/20/2024,"5,597.12",08/20/2024,"5,602.88","5,620.51","5,585.50","5,597.12",,-0.20%,0.20%,35.01,0.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/19/2024,"5,608.25",08/19/2024,"5,557.23","5,608.30","5,550.74","5,608.25",,0.97%,0.97%,57.56,1.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/16/2024,"5,554.25",08/16/2024,"5,530.50","5,561.98","5,525.17","5,554.25",,0.20%,0.20%,36.81,0.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/15/2024,"5,543.22",08/15/2024,"5,501.13","5,546.23","5,501.13","5,543.22",,1.61%,1.61%,45.10,0.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/14/2024,"5,455.21",08/14/2024,"5,442.36","5,463.22","5,415.91","5,455.21",,0.38%,0.38%,47.31,0.87%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/13/2024,"5,434.43",08/13/2024,"5,376.98","5,436.50","5,376.98","5,434.43",,1.68%,1.68%,59.52,1.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/12/2024,"5,344.39",08/12/2024,"5,351.88","5,371.20","5,324.37","5,344.39",,0.00%,0.00%,46.83,0.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/09/2024,"5,344.16",08/09/2024,"5,314.66","5,358.67","5,300.84","5,344.16",,0.47%,0.47%,57.83,1.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/08/2024,"5,319.31",08/08/2024,"5,252.57","5,328.03","5,233.85","5,319.31",,2.30%,2.30%,94.18,1.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/07/2024,"5,199.50",08/07/2024,"5,293.13","5,330.64","5,195.54","5,199.50",,-0.77%,0.77%,135.10,2.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2024,"5,240.03",08/06/2024,"5,206.42","5,312.34","5,193.56","5,240.03",,1.04%,1.04%,118.78,2.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/05/2024,"5,186.33",08/05/2024,"5,151.14","5,250.89","5,119.26","5,186.33",,-3.00%,3.00%,131.63,2.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2024,"5,346.56",08/02/2024,"5,376.63","5,383.89","5,302.03","5,346.56",,-1.84%,1.84%,81.86,1.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/01/2024,"5,446.68",08/01/2024,"5,537.84","5,566.16","5,410.42","5,446.68",,-1.37%,1.37%,155.74,2.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/31/2024,"5,522.30",07/31/2024,"5,505.59","5,551.51","5,493.75","5,522.30",,1.58%,1.58%,57.76,1.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/30/2024,"5,436.44",07/30/2024,"5,478.73","5,489.46","5,401.70","5,436.44",,-0.50%,0.50%,87.76,1.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/29/2024,"5,463.54",07/29/2024,"5,476.55","5,487.74","5,444.44","5,463.54",,0.08%,0.08%,43.30,0.79%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/26/2024,"5,459.10",07/26/2024,"5,433.67","5,488.32","5,430.70","5,459.10",,1.11%,1.11%,57.62,1.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/25/2024,"5,399.22",07/25/2024,"5,428.70","5,491.59","5,390.95","5,399.22",,-0.51%,0.51%,100.64,1.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/24/2024,"5,427.13",07/24/2024,"5,505.84","5,508.04","5,419.98","5,427.13",,-2.31%,2.31%,88.06,1.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/23/2024,"5,555.74",07/23/2024,"5,565.30","5,585.34","5,550.90","5,555.74",,-0.16%,0.16%,34.44,0.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
